btc	#btc	$btc	@btc	bitcoin	#bitcoin	$bitcoin	@bitcoin
eth	#eth	$eth	@eth	ethereum	#ethereum	$ethereum	@ethereum
powr	#powr	$powr	@powr	power ledger	#powerledger	$powerledger	@powerledger	power-ledger	#power-ledger	$power-ledger	@power-ledger
gas	#gas	$gas	@gas
knc	#knc	$knc	@knc	kyber network	#kybernetwork	$kybernetwork	@kybernetwork	kyber-network	#kyber-network	$kyber-network	@kyber-network
nxs	#nxs	$nxs	@nxs	nexus	#nexus	$nexus	@nexus
lrc	#lrc	$lrc	@lrc	loopring	#loopring	$loopring	@loopring
xzc	#xzc	$xzc	@xzc	zcoin	#zcoin	$zcoin	@zcoin
ela	#ela	$ela	@ela	elastos	#elastos	$elastos	@elastos
etn	#etn	$etn	@etn	electroneum	#electroneum	$electroneum	@electroneum
btcp	#btcp	$btcp	@btcp	bitcoin private	#bitcoinprivate	$bitcoinprivate	@bitcoinprivate	bitcoin-private	#bitcoin-private	$bitcoin-private	@bitcoin-private
pivx	#pivx	$pivx	@pivx
theta	#theta	$theta	@theta	theta token	#thetatoken	$thetatoken	@thetatoken	theta-token	#theta-token	$theta-token	@theta-token
mco	#mco	$mco	@mco	crypto.com	#crypto.com	$crypto.com	@crypto.com	crypto-com	#crypto-com	$crypto-com	@crypto-com
gxs	#gxs	$gxs	@gxs	gxchain	#gxchain	$gxchain	@gxchain
nxt	#nxt	$nxt	@nxt
drgn	#drgn	$drgn	@drgn	dragonchain	#dragonchain	$dragonchain	@dragonchain
cmt	#cmt	$cmt	@cmt	cybermiles	#cybermiles	$cybermiles	@cybermiles
wax	#wax	$wax	@wax
xin	#xin	$xin	@xin	mixin	#mixin	$mixin	@mixin
nas	#nas	$nas	@nas	nebulas	#nebulas	$nebulas	@nebulas	nebulas-token	#nebulas-token	$nebulas-token	@nebulas-token
dgd	#dgd	$dgd	@dgd	digixdao	#digixdao	$digixdao	@digixdao
mona	#mona	$mona	@mona	monacoin	#monacoin	$monacoin	@monacoin
bnt	#bnt	$bnt	@bnt	bancor	#bancor	$bancor	@bancor
zen	#zen	$zen	@zen	horizen	#horizen	$horizen	@horizen	zencash	#zencash	$zencash	@zencash
qash	#qash	$qash	@qash
mana	#mana	$mana	@mana	decentraland	#decentraland	$decentraland	@decentraland
ark	#ark	$ark	@ark
neo	#neo	$neo	@neo
xvg	#xvg	$xvg	@xvg	verge	#verge	$verge	@verge
pay	#pay	$pay	@pay	tenx	#tenx	$tenx	@tenx
dcn	#dcn	$dcn	@dcn	dentacoin	#dentacoin	$dentacoin	@dentacoin
fun	#fun	$fun	@fun	funfair	#funfair	$funfair	@funfair
elf	#elf	$elf	@elf	aelf	#aelf	$aelf	@aelf
xlm	#xlm	$xlm	@xlm	stellar	#stellar	$stellar	@stellar
ltc	#ltc	$ltc	@ltc	litecoin	#litecoin	$litecoin	@litecoin
xrp	#xrp	$xrp	@xrp	ripple	#ripple	$ripple	@ripple
kcs	#kcs	$kcs	@kcs	kucoin shares	#kucoinshares	$kucoinshares	@kucoinshares	kucoin-shares	#kucoin-shares	$kucoin-shares	@kucoin-shares
hc	#hc	$hc	@hc	hypercash	#hypercash	$hypercash	@hypercash
rdd	#rdd	$rdd	@rdd	reddcoin	#reddcoin	$reddcoin	@reddcoin
zrx	#zrx	$zrx	@zrx	0x	#0x	$0x	@0x
